Date,Camp,SPX
2019-03-04,7577.57,2789.65
2019-03-05,7576.36,2771.45
2019-03-06,7505.92,2748.93
2019-03-07,7421.46,2743.07
2019-03-08,7408.14,2783.3
2019-03-11,7558.06,2791.52
2019-03-12,7591.03,2810.92
2019-03-13,7643.41,2808.48
2019-03-14,7630.91,2822.48
2019-03-15,7688.53,2832.94
2019-03-18,7714.48,2832.57
2019-03-19,7723.95,2824.23
2019-03-20,7728.97,2854.88
2019-03-21,7838.96,2800.71
2019-03-22,7642.67,2798.36
2019-03-25,7637.54,2818.46
2019-03-26,7691.52,2805.37
2019-03-27,7643.38,2815.44
2019-03-28,7669.17,2834.4
2019-03-29,7729.32,2867.19
2019-04-01,7828.91,2867.24
2019-04-02,7848.69,2873.4
